ID,rodada,data,hora,mandante,visitante,vencedor,arena,mandante_Placar,visitante_Placar,mandante_Estado,visitante_Estado,publico_jogo,juiz_partida,expulsao_mandate,expulsao_visitante,dia_semana_jogo
2817,12,2009-07-18,18:30,Fluminense,Goias,Goias, Maracanã,1,4,RJ,GO,8327,Rodrigo Martins Cintra,0,0,Sábado
2818,12,2009-07-18,18:30,Palmeiras,Santo Andre,Palmeiras,Palestra Itália,1,0,SP,SP,19041,Marcelo de Lima Henrique,0,0,Sábado
2819,12,2009-07-19,16:00,Gremio,Internacional,Gremio, Olímpico,2,1,RS,RS,36046,Leonardo Gaciba,0,0,Domingo
2820,12,2009-07-19,16:00,Sao Paulo,Santos,Sao Paulo, Morumbi,2,1,SP,SP,10913,José Henrique de Carvalho,0,0,Domingo
2821,12,2009-07-19,16:00,Athletico-PR,Coritiba,Empate, Arena da Baixada,0,0,PR,PR,19266,Wilson Luiz Seneme,0,0,Domingo
2823,12,2009-07-19,16:00,Cruzeiro,Corinthians,Corinthians, Mineirão,1,2,MG,SP,32820,Elmo Alves Resende,1,0,Domingo
2822,12,2009-07-19,18:30,Vitoria,Atletico-MG,Empate, Barradão,0,0,BA,MG,16101,Leandro Vuaden,0,0,Domingo
2824,12,2009-07-19,18:30,Barueri,Nautico,Barueri,Arena Barueri,4,0,SP,PE,1866,Heber Roberto Lopes,0,1,Domingo
2825,12,2009-07-19,18:30,Sport,Avai,Avai,Ilha do Retiro,1,3,PE,SC,11076,Arilson Bispo da Anunciação,1,0,Domingo
2826,12,2009-07-19,18:30,Botafogo-RJ,Flamengo,Empate, Maracanã,2,2,RJ,RJ,32159,Péricles Pegado Cortez,1,0,Domingo
2827,13,2009-07-22,19:30,Flamengo,Barueri,Empate, Maracanã,1,1,RJ,SP,27952,Cláudio Mercante,0,0,Quarta-feira
